municipio,Ano,focos
BRAGANÇA,2008,187
BRAGANÇA,2009,143
BRAGANÇA,2010,153
BRAGANÇA,2011,110
BRAGANÇA,2012,144
BRAGANÇA,2013,133
BRAGANÇA,2014,106
BRAGANÇA,2015,107
BRAGANÇA,2016,97
BRAGANÇA,2017,126
BRAGANÇA,2018,33
BRAGANÇA,2019,97
BRAGANÇA,2020,92
BRAGANÇA,2021,92
BRAGANÇA,2022,118
BRAGANÇA,2023,148
BRAGANÇA,2024,131
BRASIL NOVO,2008,133
BRASIL NOVO,2009,288
BRASIL NOVO,2010,195
BRASIL NOVO,2011,284
BRASIL NOVO,2012,203
BRASIL NOVO,2013,182
BRASIL NOVO,2014,165
BRASIL NOVO,2015,184
BRASIL NOVO,2016,132
BRASIL NOVO,2017,167
BRASIL NOVO,2018,119
BRASIL NOVO,2019,96
BRASIL NOVO,2020,132
BRASIL NOVO,2021,55
BRASIL NOVO,2022,100
BRASIL NOVO,2023,118
BRASIL NOVO,2024,70
BREJO GRANDE DO ARAGUAIA,2008,51
BREJO GRANDE DO ARAGUAIA,2009,34
BREJO GRANDE DO ARAGUAIA,2010,47
BREJO GRANDE DO ARAGUAIA,2011,20
BREJO GRANDE DO ARAGUAIA,2012,30
BREJO GRANDE DO ARAGUAIA,2013,25
BREJO GRANDE DO ARAGUAIA,2014,63
BREJO GRANDE DO ARAGUAIA,2015,44
BREJO GRANDE DO ARAGUAIA,2016,17
BREJO GRANDE DO ARAGUAIA,2017,46
BREJO GRANDE DO ARAGUAIA,2018,13
BREJO GRANDE DO ARAGUAIA,2019,11
BREJO GRANDE DO ARAGUAIA,2020,12
BREJO GRANDE DO ARAGUAIA,2021,8
BREJO GRANDE DO ARAGUAIA,2022,18
BREJO GRANDE DO ARAGUAIA,2023,20
BREJO GRANDE DO ARAGUAIA,2024,13
BREU BRANCO,2008,285
BREU BRANCO,2009,319
BREU BRANCO,2010,122
BREU BRANCO,2011,178
BREU BRANCO,2012,149
BREU BRANCO,2013,116
BREU BRANCO,2014,164
BREU BRANCO,2015,161
BREU BRANCO,2016,87
BREU BRANCO,2017,120
BREU BRANCO,2018,72
BREU BRANCO,2019,81
BREU BRANCO,2020,129
BREU BRANCO,2021,79
BREU BRANCO,2022,158
BREU BRANCO,2023,113
BREU BRANCO,2024,164
BREVES,2008,124
BREVES,2009,128
BREVES,2010,118
BREVES,2011,92
BREVES,2012,96
BREVES,2013,162
BREVES,2014,73
BREVES,2015,126
