year,areakm,municipality,geocode_ibge,state,FullLocation,Ano,Código do Município,Nome do Município,"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
2010,38.54389291374376,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2010.0,1500503.0,Almeirim,17135.52
2011,6.486189809948875,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2011.0,1500503.0,Almeirim,15715.71
2012,19.48644721676855,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2012.0,1500503.0,Almeirim,13931.14
2013,9.176219814073836,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2013.0,1500503.0,Almeirim,13554.56
2014,23.47965219949605,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2014.0,1500503.0,Almeirim,15025.6
2015,12.138711951041724,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2015.0,1500503.0,Almeirim,14243.78
2016,14.965068575314394,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2016.0,1500503.0,Almeirim,17736.18
2017,20.79911604091541,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2017.0,1500503.0,Almeirim,20066.97
2018,18.592933222383174,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2018.0,1500503.0,Almeirim,17323.11
2019,29.67244562072369,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2019.0,1500503.0,Almeirim,15930.68
2020,24.70141536916831,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2020.0,1500503.0,Almeirim,18416.47
2021,31.54043403667862,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2021.0,1500503.0,Almeirim,20220.01
2022,18.384417573209586,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",,,,
2023,22.80659203040293,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",,,,
2024,29.931589678863254,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",,,,
2008,339.6219893591748,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2008.0,1500602.0,Altamira,6609.76
2009,388.934913804469,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2009.0,1500602.0,Altamira,6994.3
2010,193.8513381367604,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2010.0,1500602.0,Altamira,8020.64
2011,249.8950287131776,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2011.0,1500602.0,Altamira,12787.71
2012,228.95971312344585,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2012.0,1500602.0,Altamira,21560.59
2013,296.53594671169327,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2013.0,1500602.0,Altamira,29437.25
2014,294.22794684756883,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2014.0,1500602.0,Altamira,36984.97
2015,308.1992204157817,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2015.0,1500602.0,Altamira,29538.19
2016,408.6537982400085,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2016.0,1500602.0,Altamira,22713.51
2017,224.21683681958973,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2017.0,1500602.0,Altamira,22444.11
2018,429.95288544050953,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2018.0,1500602.0,Altamira,24063.7
2019,575.075842070961,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2019.0,1500602.0,Altamira,24228.19
2020,797.6865334027787,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2020.0,1500602.0,Altamira,22074.59
2021,765.5287860339106,Altamira,1500602,Pará,"Altamira, Pará, Brazil",2021.0,1500602.0,Altamira,26595.8
2022,626.0215439675537,Altamira,1500602,Pará,"Altamira, Pará, Brazil",,,,
2023,317.6962792321475,Altamira,1500602,Pará,"Altamira, Pará, Brazil",,,,
2024,166.63037932670895,Altamira,1500602,Pará,"Altamira, Pará, Brazil",,,,
2008,0.0,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2008.0,1500701.0,Anajás,2673.65
2009,1.028289285344722,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2009.0,1500701.0,Anajás,3116.06
2010,11.978023453442315,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2010.0,1500701.0,Anajás,3850.3
2011,0.3067108001629317,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2011.0,1500701.0,Anajás,4485.09
2012,0.0925813166379668,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2012.0,1500701.0,Anajás,5066.16
2013,0.0,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2013.0,1500701.0,Anajás,5809.97
2014,0.0,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2014.0,1500701.0,Anajás,6179.47
2015,0.1056042041201989,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2015.0,1500701.0,Anajás,6571.7
2016,0.3790389884144489,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2016.0,1500701.0,Anajás,6450.96
2017,0.0,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2017.0,1500701.0,Anajás,7192.82
2018,0.0,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2018.0,1500701.0,Anajás,7163.45
2019,0.3941495568236798,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2019.0,1500701.0,Anajás,7288.98
2020,0.8951300692990054,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2020.0,1500701.0,Anajás,7712.08
2021,0.9718692758230686,Anajás,1500701,Pará,"Anajás, Pará, Brazil",2021.0,1500701.0,Anajás,8607.88
2022,0.1331565852474091,Anajás,1500701,Pará,"Anajás, Pará, Brazil",,,,
2023,0.1965568987568205,Anajás,1500701,Pará,"Anajás, Pará, Brazil",,,,
2024,0.0758778752994583,Anajás,1500701,Pará,"Anajás, Pará, Brazil",,,,
2008,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2008.0,1500800.0,Ananindeua,6753.66
2009,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2009.0,1500800.0,Ananindeua,7002.42
2010,0.0711188497871711,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2010.0,1500800.0,Ananindeua,8692.24
